15	11	E	-1.0139728251552261E7	134
transitionprobs	11	6	1.3800382186271081E-5
transitionprobs	11	7	0.0
transitionprobs	11	8	0.0
transitionprobs	11	9	0.015441278031394785
transitionprobs	11	10	0.007560821533671354
transitionprobs	11	11	0.6325020198611314
transitionprobs	11	12	0.15079690306752755
transitionprobs	11	13	0.0
transitionprobs	11	14	0.08966780121558655
transitionprobs	11	15	0.0
transitionprobs	12	1	2.291955683462524E-4
transitionprobs	12	2	1.5152227267018796E-4
transitionprobs	12	3	0.0
transitionprobs	12	4	8.793849707040748E-4
transitionprobs	12	5	7.278968482474715E-5
transitionprobs	12	6	3.363208794638093E-5
transitionprobs	12	7	7.717323831661623E-6
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0
transitionprobs	12	10	0.033677014349727794
transitionprobs	12	11	0.07596366579710333
transitionprobs	12	12	0.8430966191660624
transitionprobs	12	13	0.04080104218721287
transitionprobs	12	14	0.005087416591570281
transitionprobs	12	15	0.0
transitionprobs	13	1	0.002134254344270189
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	3.6221161461230124E-4
transitionprobs	13	6	0.0
transitionprobs	13	7	0.0
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.002348291278244298
transitionprobs	13	11	0.0
transitionprobs	13	12	0.051599056393927596
transitionprobs	13	13	0.792858715495693
transitionprobs	13	14	0.1427731243523016
transitionprobs	13	15	0.007924346520951099
transitionprobs	14	1	0.0030011371148420344
transitionprobs	14	2	0.0087563561867169
transitionprobs	14	3	0.03555533628345239
transitionprobs	14	4	0.13067250835569655
transitionprobs	14	5	6.917816187097518E-4
transitionprobs	14	6	2.113711393222172E-4
transitionprobs	14	7	0.0
transitionprobs	14	8	6.768726940704743E-4
transitionprobs	14	9	0.0016679966648516739
transitionprobs	14	10	0.0
transitionprobs	14	11	0.026759453961764185
transitionprobs	14	12	0.0029384223543225804
transitionprobs	14	13	0.0625087793515078
transitionprobs	14	14	0.7210901918398669
transitionprobs	14	15	0.005469792434876411
transitionprobs	15	1	0.0010435148934189512
transitionprobs	15	2	0.0
transitionprobs	15	3	0.0
transitionprobs	15	4	0.00688093403667905
transitionprobs	15	5	4.7891410725661547E-4
transitionprobs	15	6	0.04833208702908731
transitionprobs	15	7	0.017318704283358834
transitionprobs	15	8	0.016172478571962905
transitionprobs	15	9	0.007822833595763103
transitionprobs	15	10	0.011490640188057677
transitionprobs	15	11	3.1534432249505584E-6
transitionprobs	15	12	0.0
transitionprobs	15	13	0.015802439480040904
transitionprobs	15	14	0.01904055265087858
transitionprobs	15	15	0.8556137477202711
emissionprobs	1	0	CTCF	0	0.09198595691547892
emissionprobs	1	0	CTCF	1	0.908014043084521
emissionprobs	1	1	Control	0	0.9843812933011993
emissionprobs	1	1	Control	1	0.015618706698800774
emissionprobs	1	2	EZH2	0	0.9161983875830387
emissionprobs	1	2	EZH2	1	0.08380161241696131
emissionprobs	1	3	H2AZ	0	0.9269703106961249
emissionprobs	1	3	H2AZ	1	0.07302968930387516
emissionprobs	1	4	H3K27ac	0	0.9877034186991216
emissionprobs	1	4	H3K27ac	1	0.012296581300878465
emissionprobs	1	5	H3K36me3	0	0.9886122200338952
emissionprobs	1	5	H3K36me3	1	0.011387779966104761
emissionprobs	1	6	H3K4me1	0	0.9531027205858916
emissionprobs	1	6	H3K4me1	1	0.04689727941410837
emissionprobs	1	7	H3K4me2	0	0.9908613485777293
emissionprobs	1	7	H3K4me2	1	0.00913865142227066
emissionprobs	1	8	H3K4me3	0	0.9997658044761242
emissionprobs	1	8	H3K4me3	1	2.3419552387592414E-4
emissionprobs	1	9	H3K9ac	0	0.9730336137899388
emissionprobs	1	9	H3K9ac	1	0.026966386210061154
emissionprobs	1	10	H4K20me1	0	0.9420090706275387
emissionprobs	1	10	H4K20me1	1	0.05799092937246136
emissionprobs	2	0	CTCF	0	0.9996022715539639
emissionprobs	2	0	CTCF	1	3.977284460361372E-4
emissionprobs	2	1	Control	0	0.9994374882295467
emissionprobs	2	1	Control	1	5.625117704532107E-4
emissionprobs	2	2	EZH2	0	0.9854156102271914
emissionprobs	2	2	EZH2	1	0.014584389772808579
emissionprobs	2	3	H2AZ	0	0.9982180994003822
emissionprobs	2	3	H2AZ	1	0.0017819005996178047
emissionprobs	2	4	H3K27ac	0	0.9999956890027323
emissionprobs	2	4	H3K27ac	1	4.310997267731651E-6
emissionprobs	2	5	H3K36me3	0	0.9999128225776731
emissionprobs	2	5	H3K36me3	1	8.717742232684321E-5
emissionprobs	2	6	H3K4me1	0	0.9999256045145466
emissionprobs	2	6	H3K4me1	1	7.439548545345723E-5
emissionprobs	2	7	H3K4me2	0	0.9999859237931891
emissionprobs	2	7	H3K4me2	1	1.4076206810994879E-5
emissionprobs	2	8	H3K4me3	0	0.999978791377137
emissionprobs	2	8	H3K4me3	1	2.1208622863094226E-5
emissionprobs	2	9	H3K9ac	0	0.9982945801137877
emissionprobs	2	9	H3K9ac	1	0.0017054198862123155
emissionprobs	2	10	H4K20me1	0	0.9999556556849631
emissionprobs	2	10	H4K20me1	1	4.4344315036885374E-5
emissionprobs	3	0	CTCF	0	0.999345085087376
emissionprobs	3	0	CTCF	1	6.549149126239805E-4
emissionprobs	3	1	Control	0	0.9966386776536369
emissionprobs	3	1	Control	1	0.003361322346363135
emissionprobs	3	2	EZH2	0	0.9405389627109934
emissionprobs	3	2	EZH2	1	0.05946103728900672
emissionprobs	3	3	H2AZ	0	0.9917498412832585
emissionprobs	3	3	H2AZ	1	0.008250158716741415
emissionprobs	3	4	H3K27ac	0	0.9999313458218942
emissionprobs	3	4	H3K27ac	1	6.865417810580174E-5
emissionprobs	3	5	H3K36me3	0	0.9999130243885846
emissionprobs	3	5	H3K36me3	1	8.69756114152856E-5
emissionprobs	3	6	H3K4me1	0	0.9996582883005997
emissionprobs	3	6	H3K4me1	1	3.417116994003453E-4
emissionprobs	3	7	H3K4me2	0	0.9999364987299685
emissionprobs	3	7	H3K4me2	1	6.350127003140793E-5
emissionprobs	3	8	H3K4me3	0	0.9999665327480463
emissionprobs	3	8	H3K4me3	1	3.3467251953855325E-5
emissionprobs	3	9	H3K9ac	0	0.991569056328403
emissionprobs	3	9	H3K9ac	1	0.008430943671597052
emissionprobs	3	10	H4K20me1	0	0.9932984237020647
emissionprobs	3	10	H4K20me1	1	0.00670157629793529
emissionprobs	4	0	CTCF	0	0.9986035746845673
emissionprobs	4	0	CTCF	1	0.0013964253154327211
emissionprobs	4	1	Control	0	0.9912778482400886
emissionprobs	4	1	Control	1	0.008722151759911406
emissionprobs	4	2	EZH2	0	0.9715280328255059
emissionprobs	4	2	EZH2	1	0.028471967174494156
emissionprobs	4	3	H2AZ	0	0.9626145203411304
emissionprobs	4	3	H2AZ	1	0.03738547965886962
emissionprobs	4	4	H3K27ac	0	0.9928839855814553
emissionprobs	4	4	H3K27ac	1	0.007116014418544695
emissionprobs	4	5	H3K36me3	0	0.9830213857340304
emissionprobs	4	5	H3K36me3	1	0.016978614265969603
emissionprobs	4	6	H3K4me1	0	0.9995919447486851
emissionprobs	4	6	H3K4me1	1	4.0805525131489375E-4
