15	11	E	-1.02790835634026E7	153
transitionprobs	11	6	0.0
transitionprobs	11	7	0.0035022552112644175
transitionprobs	11	8	4.347100282062008E-4
transitionprobs	11	9	0.0012870450969695803
transitionprobs	11	10	0.002298669020823734
transitionprobs	11	11	0.9525940102293244
transitionprobs	11	12	0.02768854629629715
transitionprobs	11	13	0.007229472591126785
transitionprobs	11	14	0.0
transitionprobs	11	15	0.0
transitionprobs	12	1	2.0803830932531275E-5
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.0073625046013544235
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0
transitionprobs	12	10	0.0
transitionprobs	12	11	0.07639854380256522
transitionprobs	12	12	0.9141514072082703
transitionprobs	12	13	0.0020297255678588646
transitionprobs	12	14	3.701498901879589E-5
transitionprobs	12	15	0.0
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	6.779442809938981E-4
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0143500149783228
transitionprobs	13	6	0.0
transitionprobs	13	7	4.990385660787691E-4
transitionprobs	13	8	0.0
transitionprobs	13	9	0.001545452189905333
transitionprobs	13	10	0.0
transitionprobs	13	11	0.09099803599861939
transitionprobs	13	12	0.00876484759628106
transitionprobs	13	13	0.8827403570168534
transitionprobs	13	14	4.243093729454083E-4
transitionprobs	13	15	0.0
transitionprobs	14	1	3.4419734278655475E-4
transitionprobs	14	2	0.0013979890049443716
transitionprobs	14	3	9.154742746403342E-4
transitionprobs	14	4	4.411927669549911E-5
transitionprobs	14	5	8.098533828820812E-4
transitionprobs	14	6	0.0022150158002554633
transitionprobs	14	7	0.15287367833059576
transitionprobs	14	8	0.011760844655713486
transitionprobs	14	9	0.003082948725582234
transitionprobs	14	10	0.01095399413035403
transitionprobs	14	11	0.0
transitionprobs	14	12	0.001504536201801379
transitionprobs	14	13	0.003301597427702144
transitionprobs	14	14	0.8044079846335181
transitionprobs	14	15	0.006387766812528453
transitionprobs	15	1	0.0
transitionprobs	15	2	0.0
transitionprobs	15	3	0.001546226914689981
transitionprobs	15	4	0.0
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	3.9155170619798466E-4
transitionprobs	15	8	4.5608253608845565E-4
transitionprobs	15	9	0.008461350074331646
transitionprobs	15	10	0.007753428022987342
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0
transitionprobs	15	14	3.315169605192364E-5
transitionprobs	15	15	0.9813582090496528
emissionprobs	1	0	CTCF	0	0.6160847072981273
emissionprobs	1	0	CTCF	1	0.3839152927018727
emissionprobs	1	1	Control	0	0.970870419760765
emissionprobs	1	1	Control	1	0.02912958023923497
emissionprobs	1	2	EZH2	0	0.9795533916465679
emissionprobs	1	2	EZH2	1	0.020446608353432167
emissionprobs	1	3	H2AZ	0	0.17109286581801098
emissionprobs	1	3	H2AZ	1	0.828907134181989
emissionprobs	1	4	H3K27ac	0	0.09100303670654457
emissionprobs	1	4	H3K27ac	1	0.9089969632934555
emissionprobs	1	5	H3K36me3	0	0.6117480193854206
emissionprobs	1	5	H3K36me3	1	0.3882519806145795
emissionprobs	1	6	H3K4me1	0	0.9282697990658073
emissionprobs	1	6	H3K4me1	1	0.07173020093419276
emissionprobs	1	7	H3K4me2	0	0.07301958786790881
emissionprobs	1	7	H3K4me2	1	0.9269804121320913
emissionprobs	1	8	H3K4me3	0	0.0019010437517558384
emissionprobs	1	8	H3K4me3	1	0.9980989562482442
emissionprobs	1	9	H3K9ac	0	3.490410006614539E-4
emissionprobs	1	9	H3K9ac	1	0.9996509589993385
